FIPS_city,St,City,County,Pop_2005,Latitude,Longitude
666070,CA,San Dimas,Los Angeles,35850,34.10905,-117.807199
667000,CA,San Francisco,San Francisco,739426,37.79325,-122.554783
667042,CA,San Gabriel,Los Angeles,41056,34.0947,-118.097599
668000,CA,San Jose,Santa Clara,912332,37.304,-121.849783
668028,CA,San Juan Capistrano,Orange,34673,33.50164,-117.652632
668084,CA,San Leandro,Alameda,78178,37.70465,-122.160756
668154,CA,San Luis Obispo,San Luis Obispo,43509,35.272866,-120.66481
668196,CA,San Marcos,San Diego,73487,33.136633,-117.173109
668252,CA,San Mateo,San Mateo,91081,37.561267,-122.312019
668294,CA,San Pablo,Contra Costa,31004,37.962139,-122.34275
668364,CA,San Rafael,Marin,55716,37.9811,-122.505944
668378,CA,San Ramon,Contra Costa,49999,37.757423,-121.951068
669000,CA,Santa Ana,Orange,340368,33.7364,-117.882114
669070,CA,Santa Barbara,Santa Barbara,85899,34.4285,-119.721904
669084,CA,Santa Clara,Santa Clara,105402,37.365,-121.966706
669088,CA,Santa Clarita,Los Angeles,168253,34.413408,-118.510175
669112,CA,Santa Cruz,Santa Cruz,54760,36.97325,-122.035821
669196,CA,Santa Maria,Santa Barbara,84346,34.937031,-120.436881
670000,CA,Santa Monica,Los Angeles,87800,34.0134,-118.493229
670042,CA,Santa Paula,Ventura,28478,34.352256,-119.069272
670098,CA,Santa Rosa,Sonoma,153158,38.4486,-122.700799
670224,CA,Santee,San Diego,52306,32.855117,-116.982732
670280,CA,Saratoga,Santa Clara,29663,37.2678,-122.023026
670742,CA,Seaside,Monterey,34214,36.6214,-121.818584
672016,CA,Simi Valley,Ventura,118687,34.26305,-118.751299
673080,CA,South Gate,Los Angeles,98897,33.94395,-118.19193
673262,CA,South San Francisco,San Mateo,60735,37.658635,-122.308393
673962,CA,Stanton,Orange,37661,33.800448,-117.990923
675000,CA,Stockton,San Joaquin,286926,37.96985,-121.306741
675630,CA,Suisun City,Solano,26762,38.2457,-122.009849
677000,CA,Sunnyvale,Santa Clara,128902,37.38575,-122.025531
678120,CA,Temecula,Riverside,85799,33.502683,-117.128798
678148,CA,Temple City,Los Angeles,37363,34.102633,-118.057078
678582,CA,Thousand Oaks,Ventura,124359,34.1927,-118.867557
680000,CA,Torrance,Los Angeles,142384,33.8348,-118.340424
680238,CA,Tracy,San Joaquin,79964,37.73695,-121.431868
680644,CA,Tulare,Tulare,50127,36.19515,-119.343079
680812,CA,Turlock,Stanislaus,67669,37.504912,-120.850403
680854,CA,Tustin,Orange,69096,33.730005,-117.811099
680994,CA,Twentynine Palms,San Bernardino,28409,34.139498,-116.065704
681204,CA,Union City,Alameda,69176,37.60165,-122.016072
681344,CA,Upland,San Bernardino,73589,34.1188,-117.657749
681554,CA,Vacaville,Solano,92985,38.362267,-121.966053
681666,CA,Vallejo,Solano,117483,38.107467,-122.264186
682590,CA,Victorville,San Bernardino,91264,34.523049,-117.331596
682954,CA,Visalia,Tulare,108669,36.3254,-119.320574
682996,CA,Vista,San Diego,90402,33.188783,-117.238216
683332,CA,Walnut,Los Angeles,31424,34.029016,-117.857378
683346,CA,Walnut Creek,Contra Costa,64196,37.90201,-122.040849
683668,CA,Watsonville,Santa Cruz,47927,36.91925,-121.76854
684200,CA,West Covina,Los Angeles,108185,34.05425,-117.909849
684410,CA,West Hollywood,Los Angeles,36732,34.0879,-118.371249
684550,CA,Westminster,Orange,89523,33.7514,-117.993055
684816,CA,West Sacramento,Yolo,41744,38.556749,-121.547839
685292,CA,Whittier,Los Angeles,84473,33.9666,-118.021685
686328,CA,Woodland,Yolo,51020,38.67695,-121.766598
686832,CA,Yorba Linda,Orange,64476,33.888661,-117.766326
686972,CA,Yuba City,Sutter,58628,39.135467,-121.622742
687042,CA,Yucaipa,San Bernardino,49100,34.03305,-117.044449
803455,CO,Arvada,"Adams, Jefferson",103966,39.821125,-105.106744
804000,CO,Aurora,"Adams, Arapahoe, Douglas",297235,39.712267,-104.729772
807850,CO,Boulder,Boulder,91685,40.026881,-105.251025
809280,CO,Broomfield,Broomfield,43478,39.944,-105.061654
816000,CO,Colorado Springs,El Paso,369815,38.8632,-104.759899
820000,CO,Denver,Denver,557917,39.768035,-104.872655
824785,CO,Englewood,Arapahoe,32350,39.647417,-104.993841
827425,CO,Fort Collins,Larimer,128026,40.55555,-105.068481
831660,CO,Grand Junction,Mesa,45299,39.0873,-108.552924
832155,CO,Greeley,Weld,87596,40.421324,-104.743871
843000,CO,Lakewood,Jefferson,140671,39.6952,-105.113556
845255,CO,Littleton,"Arapahoe, Douglas, Jefferson",40396,39.594567,-105.014396
845970,CO,Longmont,"Boulder, Weld",81818,40.172807,-105.111699
846465,CO,Loveland,Larimer,59563,40.418567,-105.071745
854330,CO,Northglenn,"Adams, Weld",32906,39.9057,-104.977916
862000,CO,Pueblo,Pueblo,103495,38.27355,-104.620999
877290,CO,Thornton,"Adams, Weld",105182,39.89195,-104.955228
883835,CO,Westminster,"Adams, Jefferson",105084,39.8815,-105.050854
884440,CO,Wheat Ridge,Jefferson,31242,39.77345,-105.09855
908000,CT,Bridgeport,Fairfield,139008,41.186316,-73.196209
908420,CT,Bristol,Hartford,61353,41.681201,-72.941017
918430,CT,Danbury,Fairfield,78736,41.402133,-73.471532
937000,CT,Hartford,Hartford,124397,41.7657,-72.683866
946450,CT,Meriden,New Haven,59653,41.536651,-72.79518
947290,CT,Middle,Middlesex,47438,41.548371,-72.654264
949880,CT,Naugatuck,New Haven,31864,41.4896,-73.052049
950370,CT,New Britain,Hartford,71254,41.6751,-72.787805
952000,CT,New Haven,New Haven,124791,41.3101,-72.924068
952280,CT,New London,New London,26174,41.329667,-72.09502
955990,CT,Norwalk,Fairfield,84437,41.09395,-73.420177
956200,CT,Norwich,New London,36598,41.550183,-72.087948
968100,CT,Shelton,Fairfield,39477,41.30405,-73.138553
973000,CT,Stamford,Fairfield,120045,41.096733,-73.552688
976500,CT,Torrington,Litchfield,35995,41.834962,-73.129439
980000,CT,Waterbury,New Haven,107902,41.5584,-73.037429
982800,CT,West Haven,New Haven,52923,41.27395,-72.968305
1021200,DE,Dover,Kent,34288,39.158691,-75.517441
1050670,DE,Newark,New Castle,30060,39.6766,-75.757699
1077580,DE,Wilmington,New Castle,72786,39.735572,-75.529956
1150000,DC,Washington,District of Columbia,550521,38.90505,-77.016167
1200950,FL,Altamonte Springs,Seminole,41057,28.66208,-81.395249
1201700,FL,Apopka,Orange,34728,28.68675,-81.513276
1202681,FL,Aventura,Miami-Dade,29391,25.9592,-80.133889
1207300,FL,Boca Raton,Palm Beach,86632,26.3727,-80.106624
1207525,FL,Bonita Springs,Lee,37992,26.340927,-81.78506
1207875,FL,Boynton Beach,Palm Beach,66885,26.52683,-80.080687
1207950,FL,Bradenton,Manatee,53917,27.4879,-82.578974
1210275,FL,Cape Coral,Lee,140010,26.637675,-81.997185
1212875,FL,Clearwater,Pinellas,108687,27.9794,-82.765549
1213275,FL,Coconut Creek,Broward,49017,26.2794,-80.184572
1214125,FL,Cooper City,Broward,30022,26.044264,-80.289794
1214250,FL,Coral Gables,Miami-Dade,42871,25.6991,-80.264357
1214400,FL,Coral Springs,Broward,128804,26.268917,-80.25904
1216475,FL,Davie,Broward,84204,26.08215,-80.289246
1216525,FL,Daytona Beach,Volusia,64421,29.192243,-81.052688
1216725,FL,Deerfield Beach,Broward,76348,26.313133,-80.120741
1217100,FL,Delray Beach,Palm Beach,64757,26.454667,-80.088682
1217200,FL,Deltona,Volusia,82788,28.909894,-81.208779
1218575,FL,Dunedin,Pinellas,36690,28.044379,-82.808446
1224000,FL,Fort Lauderdale,Broward,167380,26.14255,-80.139499
