St,City,FIPS_city,Time,OWS_protest,15,30,45,60,100
AL,Birmingham,107000,4,0,0,0,0,0,0
AL,Birmingham,107000,5,0,0,0,0,0,0
AL,Birmingham,107000,6,0,0,0,0,0,0
AL,Birmingham,107000,7,0,0,0,0,0,0
AL,Birmingham,107000,8,0,0,0,0,0,0
AL,Birmingham,107000,9,0,0,0,0,0,0
AL,Birmingham,107000,10,0,0,0,0,0,0
AL,Birmingham,107000,11,0,0,0,0,0,0
AL,Birmingham,107000,12,0,0,0,0,0,0
AL,Birmingham,107000,13,0,0,0,0,0,0
AL,Birmingham,107000,14,0,0,0,0,0,0
AL,Birmingham,107000,15,0,0,0,0,0,0
AL,Birmingham,107000,16,0,0,0,0,0,0
AL,Birmingham,107000,17,0,0,0,0,0,0
AL,Birmingham,107000,18,0,0,0,0,0,0
AL,Birmingham,107000,19,0,0,0,0,0,0
AL,Birmingham,107000,20,0,0,0,0,0,0
AL,Birmingham,107000,21,0,0,0,0,0,0
AL,Birmingham,107000,22,0,0,0,0,0,0
AL,Birmingham,107000,23,0,0,0,0,0,0
AL,Birmingham,107000,24,0,0,0,0,0,0
AL,Birmingham,107000,25,0,0,0,0,0,0
AL,Birmingham,107000,26,0,0,0,0,0,0
AL,Birmingham,107000,27,0,0,0,0,0,0
AL,Birmingham,107000,28,0,0,0,0,0,0
AL,Birmingham,107000,29,0,0,0,0,0,0
AL,Birmingham,107000,30,0,0,0,0,0,0
AL,Birmingham,107000,31,1,0,0,0,0,1
AL,Birmingham,107000,32,1,0,0,0,0,1
AL,Birmingham,107000,33,1,0,0,0,0,1
AL,Birmingham,107000,34,1,0,0,0,0,1
AL,Birmingham,107000,35,1,0,0,0,0,1
AL,Birmingham,107000,36,1,0,0,0,0,1
AL,Birmingham,107000,37,1,0,0,0,0,1
AL,Birmingham,107000,38,1,0,0,0,0,1
AL,Birmingham,107000,39,1,0,0,0,0,1
AL,Birmingham,107000,40,1,0,0,0,0,1
AL,Birmingham,107000,41,1,0,0,0,0,1
AL,Birmingham,107000,42,1,0,0,0,0,1
AL,Birmingham,107000,43,1,0,0,0,0,1
AL,Birmingham,107000,44,1,0,0,0,0,1
AL,Birmingham,107000,45,1,0,0,0,0,1
